Strategy,Timeframe,Fast,Slow,Monthly Return %,Total Return %,Max Drawdown %,Trades,Trades/Month,Win Rate %,Worst Day %,Sharpe Ratio,Days,Passed
V3,30min,20,50,2.19,271.99,-22.19,1877,15.14,50.1,-5.57,0.15,3775,✗
V6,15min,8,21,1.88,232.64,-22.21,9149,73.77,49.7,-3.83,0.1,3775,✗
V4,1h,5,15,1.65,205.0,-21.61,3292,26.55,49.4,-2.95,0.19,3775,✗
V8,30min,13,34,1.51,187.31,-25.38,2858,23.05,49.8,-3.06,0.13,3775,✗
V5,15min,15,35,1.47,181.9,-31.09,5465,44.07,49.7,-4.4,0.09,3775,✗
V1,30min,12,26,1.37,169.52,-27.32,3664,29.54,49.8,-3.06,0.12,3775,✗
V5,30min,15,35,1.34,166.69,-32.66,2715,21.89,49.9,-5.57,0.12,3775,✗
V8,15min,13,34,1.34,166.11,-27.62,5721,46.13,49.7,-4.4,0.08,3775,✗
V6,1h,8,21,1.33,164.74,-32.83,2249,18.13,49.6,-5.72,0.17,3775,✗
V3,15min,20,50,1.3,161.17,-22.58,3820,30.8,49.8,-4.4,0.08,3775,✗
V1,1h,12,26,1.29,160.39,-17.6,1787,14.41,50.0,-5.72,0.16,3775,✗
V4,30min,5,15,1.25,155.25,-25.32,6585,53.1,49.4,-5.57,0.11,3775,✗
V8,4h,13,34,1.24,153.42,-25.74,503,4.06,51.0,-6.48,0.26,3775,✗
V8,1h,13,34,1.23,152.25,-33.33,1373,11.07,50.2,-5.72,0.16,3775,✗
V9,15min,18,55,1.23,152.72,-23.16,3626,29.24,49.8,-4.4,0.08,3775,✗
V2,1h,10,20,1.22,151.81,-27.5,2319,18.7,49.7,-5.72,0.16,3775,✗
V5,4h,15,35,1.16,144.2,-33.04,472,3.81,51.0,-6.48,0.25,3775,✗
V2,15min,10,20,1.14,141.52,-23.0,9453,76.22,49.7,-3.83,0.08,3775,✗
V4,2h,5,15,1.12,138.58,-33.11,2163,17.44,49.9,-5.95,0.19,3775,✗
V5,1h,15,35,1.06,130.87,-31.09,1317,10.62,50.4,-5.72,0.15,3775,✗
V4,15min,5,15,0.98,121.5,-29.29,13385,107.93,49.4,-3.83,0.07,3775,✗
V9,30min,18,55,0.96,118.78,-30.05,1787,14.41,50.1,-5.57,0.1,3775,✗
V7,1h,25,75,0.94,115.96,-29.14,622,5.02,50.6,-5.72,0.14,3775,✗
V2,30min,10,20,0.88,108.83,-26.47,4758,38.37,49.5,-3.06,0.09,3775,✗
V6,30min,8,21,0.87,107.51,-25.38,4623,37.28,49.4,-3.06,0.09,3775,✗
V1,15min,12,26,0.83,103.46,-29.23,7259,58.53,49.8,-4.4,0.06,3775,✗
V7,15min,25,75,0.81,100.9,-38.36,2649,21.36,50.0,-4.4,0.06,3775,✗
V5,3h,15,35,0.75,93.05,-26.09,637,5.14,50.9,-4.88,0.17,3775,✗
V2,2h,10,20,0.74,92.02,-22.3,1513,12.2,50.6,-5.95,0.15,3775,✗
V4,4h,5,15,0.73,90.78,-30.12,1209,9.75,50.2,-6.48,0.19,3775,✗
V1,4h,12,26,0.72,89.07,-26.18,675,5.44,50.9,-6.48,0.19,3775,✗
V7,2h,25,75,0.66,82.12,-36.9,396,3.19,51.0,-5.95,0.14,3775,✗
V3,2h,20,50,0.66,82.38,-31.86,632,5.1,50.8,-5.95,0.14,3775,✗
V9,1h,18,55,0.65,80.39,-37.54,891,7.18,50.5,-5.72,0.11,3775,✗
V5,2h,15,35,0.64,79.42,-27.68,875,7.06,50.7,-5.95,0.13,3775,✗
V6,2h,8,21,0.6,74.18,-32.59,1471,11.86,50.4,-5.95,0.13,3775,✗
V7,30min,25,75,0.6,74.36,-37.27,1297,10.46,50.1,-5.57,0.07,3775,✗
V8,3h,13,34,0.59,73.5,-31.19,671,5.41,50.9,-4.88,0.15,3775,✗
V9,2h,18,55,0.57,70.81,-29.1,574,4.63,50.8,-5.95,0.12,3775,✗
V9,3h,18,55,0.56,68.89,-38.34,412,3.32,51.2,-4.88,0.14,3775,✗
V3,1h,20,50,0.54,66.53,-45.19,953,7.68,50.5,-5.72,0.1,3775,✗
V4,3h,5,15,0.52,64.25,-26.13,1535,12.38,50.1,-4.88,0.14,3775,✗
V8,2h,13,34,0.48,59.63,-42.15,929,7.49,50.6,-5.95,0.11,3775,✗
V3,3h,20,50,0.43,53.85,-38.66,438,3.53,51.0,-4.88,0.12,3775,✗
V2,4h,10,20,0.41,50.5,-36.47,867,6.99,50.8,-6.48,0.13,3775,✗
V6,4h,8,21,0.36,44.68,-35.22,839,6.77,50.8,-6.48,0.12,3775,✗
V7,4h,25,75,0.36,44.32,-46.68,250,2.02,50.8,-6.48,0.12,3775,✗
V7,3h,25,75,0.28,34.24,-37.04,311,2.51,50.9,-4.88,0.09,3775,✗
V1,3h,12,26,0.28,35.26,-40.36,875,7.06,50.6,-4.88,0.1,3775,✗
V9,4h,18,55,0.24,29.29,-46.58,325,2.62,50.8,-6.48,0.1,3775,✗
V2,3h,10,20,0.12,15.48,-48.56,1099,8.86,50.4,-4.88,0.06,3775,✗
V1,2h,12,26,0.11,13.7,-44.99,1183,9.54,50.6,-5.95,0.05,3775,✗
V3,4h,20,50,0.09,11.04,-52.89,343,2.77,50.7,-6.48,0.06,3775,✗
V6,3h,8,21,0.07,8.08,-37.23,1085,8.75,50.0,-4.88,0.05,3775,✗
