month_end,equity_end,return_pct,max_dd_pct,worst_day_pct,n_trades,wr_pct,obj_m,obj_dd,obj_tpm,passes,tf
2016-03,99619.7917,-0.3802,-0.3802,-0.3802,1,0.0000,False,True,False,False,1D
2016-04,98740.2059,-0.8829,-0.8829,-0.8829,2,0.0000,False,True,False,False,1D
2016-05,89871.5638,-8.9818,-10.0264,-4.0077,29,10.3448,False,False,True,False,1D
2016-06,93722.8360,4.2853,0.0000,0.0000,9,100.0000,True,True,True,True,1D
2016-07,96268.0532,2.7157,0.0000,0.0000,6,100.0000,True,True,False,False,1D
2016-08,89709.4014,-6.8129,-6.8129,-2.4401,16,0.0000,False,True,True,False,1D
2016-09,88024.4214,-1.8783,-1.8783,-1.3885,4,0.0000,False,True,False,False,1D
2016-10,82688.3180,-6.0621,-6.0621,-6.0621,14,0.0000,False,True,True,False,1D
2016-11,82688.3180,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2016-12,82688.3180,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2017-01,82990.8527,0.3659,0.0000,0.0000,1,100.0000,False,True,False,False,1D
2017-02,83361.4577,0.4466,0.0000,0.0000,1,100.0000,False,True,False,False,1D
2017-03,83605.1666,0.2924,0.0000,0.0000,1,100.0000,False,True,False,False,1D
2017-04,82981.4182,-0.7461,-0.7461,-0.7461,2,0.0000,False,True,False,False,1D
2017-05,82668.9893,-0.3765,0.0000,-0.3765,1,0.0000,False,True,False,False,1D
2017-06,82668.9893,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2017-07,82668.9893,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2017-08,83371.2655,0.8495,0.0000,0.0000,2,100.0000,False,True,False,False,1D
2017-09,83556.1102,0.2217,-1.8330,-0.7366,11,45.4545,False,True,True,False,1D
2017-10,82306.8865,-1.4951,-1.4951,-0.3803,4,0.0000,False,True,False,False,1D
2017-11,82306.8865,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2017-12,81682.2215,-0.7589,-0.7589,-0.3882,2,0.0000,False,True,False,False,1D
2018-01,81682.2215,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2018-02,81372.2619,-0.3795,-0.3795,-0.3795,1,0.0000,False,True,False,False,1D
2018-03,77200.5306,-5.1267,-5.1267,-4.6591,12,0.0000,False,True,True,False,1D
2018-04,76895.8163,-0.3947,-0.3947,-0.3947,1,0.0000,False,True,False,False,1D
2018-05,76895.8163,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2018-06,76895.8163,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2018-07,76900.6573,0.0063,-0.3733,-0.3733,2,50.0000,False,True,False,False,1D
2018-08,80741.0026,4.9939,-0.1495,-0.1495,20,85.0000,True,True,True,True,1D
2018-09,80741.0026,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2018-10,76041.1577,-5.8209,-5.8209,-4.9820,14,0.0000,False,True,True,False,1D
2018-11,75481.4278,-0.7361,-0.3671,-0.3703,2,0.0000,False,True,False,False,1D
2018-12,72536.7343,-3.9012,-3.9012,-2.5352,9,0.0000,False,True,True,False,1D
2019-01,72536.7343,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2019-02,72536.7343,0.0000,0.0000,0.0000,0,0.0000,False,True,False,False,1D
2019-03,71993.4269,-0.7490,-0.3763,-0.3763,2,0.0000,False,True,False,False,1D
2019-04,71179.6089,-1.1304,-1.1304,-0.7590,3,0.0000,False,True,False,False,1D
2019-05,70381.7579,-1.1209,-1.1209,-0.7503,3,0.0000,False,True,False,False,1D
2019-06,73091.2846,3.8498,-0.3829,-0.7608,15,80.0000,True,True,True,True,1D
2019-07,73482.3277,0.5350,0.0000,0.0000,5,80.0000,False,True,False,False,1D
2019-08,76024.3118,3.4593,0.0000,-0.5896,13,76.9231,True,True,True,True,1D
2019-09,72468.6309,-4.6770,-4.9715,-3.6346,18,16.6667,False,True,True,False,1D
