month_end,equity_end,return_pct,max_dd_pct,worst_day_pct,n_trades,wr_pct,obj_m,obj_dd,obj_wd,obj_tpm,passes
2016-01,98518.0100,-1.4820,-1.4820,-1.4820,2,0.0000,False,True,True,False,False
2016-02,104304.3500,5.8734,-2.1031,-0.8000,12,58.3333,True,True,True,True,True
2016-03,107590.5100,3.1506,-3.8821,-0.8000,14,50.0000,True,True,True,True,True
2016-04,111696.0700,3.8159,-2.3809,-0.8000,10,50.0000,True,True,True,True,True
2016-05,116872.6500,4.6345,-1.5936,-1.5936,12,58.3333,True,True,True,True,True
2016-06,119695.5100,2.4153,-2.8617,-0.8000,15,53.3333,True,True,True,True,True
2016-07,119724.2800,0.0240,-4.2045,-1.5936,13,38.4615,False,True,True,True,False
2016-08,130641.5100,9.1186,-1.7798,-0.8000,13,61.5385,True,True,True,True,True
2016-09,128070.3500,-1.9681,-2.3809,-0.8000,5,20.0000,False,True,True,False,False
2016-10,128070.3500,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2016-11,134477.7500,5.0030,0.0000,0.0000,3,100.0000,True,True,True,False,False
2016-12,134477.7500,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2017-01,144884.4800,7.7386,-1.5936,-0.8000,13,61.5385,True,True,True,True,True
2017-02,149503.7100,3.1882,-2.9690,-1.5936,16,50.0000,True,True,True,True,True
2017-03,147745.5600,-1.1760,-3.0114,-0.8000,13,46.1538,False,True,True,True,False
2017-04,148316.0900,0.3862,-3.8022,-0.8000,14,50.0000,False,True,True,True,False
2017-05,148451.1500,0.0911,-3.1618,-1.5936,7,28.5714,False,True,True,True,False
2017-06,145239.7200,-2.1633,-4.0494,-1.5936,9,22.2222,False,True,True,True,False
2017-07,146475.6700,0.8510,-1.5936,-0.8000,8,50.0000,False,True,True,True,False
2017-08,157107.5900,7.2585,-2.5202,-0.8000,18,61.1111,True,True,True,True,True
2017-09,159672.7300,1.6327,-2.6235,-0.8000,10,40.0000,False,True,True,True,False
2017-10,165887.2600,3.8920,-0.8000,-0.8000,4,75.0000,True,True,True,False,False
2017-11,170352.9700,2.6920,-1.2554,-0.8000,8,62.5000,True,True,True,True,True
2017-12,177235.2300,4.0400,0.0000,0.0000,2,100.0000,True,True,True,False,False
2018-01,183840.3500,3.7268,-2.3809,-0.8000,20,60.0000,True,True,True,True,True
2018-02,185521.1800,0.9143,-2.3809,-0.8000,6,33.3333,False,True,True,False,False
2018-03,195414.2000,5.3326,0.0000,0.0000,3,100.0000,True,True,True,False,False
2018-04,196707.1400,0.6616,-1.9472,-1.5936,11,45.4545,False,True,True,True,False
2018-05,196707.1400,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-06,195133.4800,-0.8000,-0.8000,-0.8000,1,0.0000,False,True,True,False,False
2018-07,195133.4800,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-08,195133.4800,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-09,197443.8700,1.1840,-0.8000,-0.8000,2,50.0000,False,True,True,False,False
2018-10,191734.4300,-2.8917,-5.4616,-1.1095,14,35.7143,False,True,True,True,False
2018-11,203305.1900,6.0348,-2.4306,-0.8000,18,66.6667,True,True,True,True,True
2018-12,207293.2400,1.9616,-4.7152,-1.5936,14,35.7143,False,True,True,True,False
2019-01,213079.9200,2.7915,-1.8649,-1.0258,16,43.7500,True,True,True,True,True
2019-02,229383.1300,7.6512,-1.5936,-0.8000,13,61.5385,True,True,True,True,True
2019-03,226573.1000,-1.2250,-3.1618,-0.8000,5,20.0000,False,True,True,False,False
2019-04,228096.3000,0.6723,0.0000,0.0000,1,100.0000,False,True,True,False,False
2019-05,233499.2800,2.3687,-1.7130,-0.8000,9,55.5556,True,True,True,True,True
2019-06,245939.6800,5.3278,-1.0166,-0.8000,13,53.8462,True,True,True,True,True
2019-07,249126.7900,1.2959,-2.3690,-0.8000,22,45.4545,False,True,True,True,False
2019-08,252357.5300,1.2968,-2.3472,-0.8000,15,46.6667,False,True,True,True,False
2019-09,255031.8400,1.0597,-1.5936,-0.8000,8,50.0000,False,True,True,True,False
2019-10,260629.5000,2.1949,-0.2571,-0.2571,3,66.6667,True,True,True,False,False
2019-11,256588.8900,-1.5503,-1.5503,-0.8000,2,0.0000,False,True,True,False,False
2019-12,268846.1700,4.7770,-1.0119,-0.8000,10,60.0000,True,True,True,True,True
2020-01,277157.7100,3.0916,-1.5936,-0.8000,16,50.0000,True,True,True,True,True
2020-02,281339.4100,1.5088,-1.5936,-0.8000,11,54.5455,False,True,True,True,False
2020-03,275342.5500,-2.1315,-2.4013,-1.1092,11,45.4545,False,True,True,True,False
2020-04,284305.0800,3.2550,-2.8668,-1.5936,14,50.0000,True,True,True,True,True
2020-05,297514.7900,4.6463,-1.0099,-0.8000,10,70.0000,True,True,True,True,True
2020-06,314269.2800,5.6315,-2.1965,-1.5936,15,60.0000,True,True,True,True,True
2020-07,338144.5500,7.5971,-2.3809,-0.8000,13,61.5385,True,True,True,True,True
2020-08,352691.9200,4.3021,-1.8901,-0.8000,11,54.5455,True,True,True,True,True
2020-09,354051.4800,0.3855,-1.5936,-0.8000,7,28.5714,False,True,True,True,False
2020-10,358243.4500,1.1840,-0.8000,-0.8000,2,50.0000,False,True,True,False,False
2020-11,372716.4800,4.0400,0.0000,0.0000,2,100.0000,True,True,True,False,False
2020-12,409421.0300,9.8478,-0.8000,-0.8000,8,87.5000,True,True,True,True,True
2021-01,410954.4300,0.3745,-1.5936,-0.8000,3,33.3333,False,True,True,False,False
2021-02,410954.4300,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2021-03,410954.4300,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2021-04,405377.8700,-1.3570,-4.2041,-0.8000,9,33.3333,False,True,True,True,False
2021-05,417604.0200,3.0160,-2.6416,-1.5936,17,52.9412,True,True,True,True,True
2021-06,415627.6400,-0.4733,-2.5702,-0.8000,7,28.5714,False,True,True,True,False
2021-07,434851.8900,4.6254,-1.5936,-0.8000,7,57.1429,True,True,True,True,True
2021-08,442724.3200,1.8104,-1.8339,-1.0423,12,50.0000,False,True,True,True,False
2021-09,448847.5400,1.3831,-1.5002,-0.8000,4,50.0000,False,True,True,False,False
2021-10,463763.5100,3.3232,-0.8000,-0.8000,9,55.5556,True,True,True,True,True
2021-11,468092.6300,0.9335,-2.3183,-1.5936,14,42.8571,False,True,True,True,False
2021-12,488906.2400,4.4465,-1.5936,-1.5936,6,50.0000,True,True,True,False,False
2022-01,513668.4200,5.0648,-2.2338,-0.8000,16,43.7500,True,True,True,True,True
2022-02,545913.2800,6.2774,-1.7139,-0.8000,11,54.5455,True,True,True,True,True
2022-03,555192.1400,1.6997,-3.4166,-0.8000,11,45.4545,False,True,True,True,False
2022-04,567167.6800,2.1570,-2.0559,-1.2660,8,50.0000,True,True,True,True,True
2022-05,567167.6800,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2022-06,568675.4400,0.2658,-0.8000,-0.8000,2,50.0000,False,True,True,False,False
