entry_time,exit_time,direction,pnl_abs,win
2016-01-18 09:30:00,2016-01-19 01:00:00,L,-500.0,False
2016-01-21 11:30:00,2016-01-21 13:30:00,L,-497.5,False
2016-01-21 18:30:00,2016-01-22 13:30:00,L,-495.0125,False
2016-01-22 14:30:00,2016-01-25 08:00:00,L,1477.6123125,True
2016-01-27 12:00:00,2016-01-27 15:00:00,L,-499.9254990625,False
2016-01-27 15:30:00,2016-01-27 19:00:00,L,1492.2776147015625,True
2016-01-28 10:00:00,2016-01-28 18:00:00,L,-504.88725964069533,False
2016-01-29 17:30:00,2016-02-01 11:30:00,L,1198.2387387768051,True
2016-02-02 12:30:00,2016-02-02 14:30:00,L,1525.0620511091277,True
2016-02-02 18:00:00,2016-02-03 15:00:00,L,1547.9379818757648,True
2016-02-05 15:30:00,2016-02-05 20:00:00,L,1571.157051603901,True
2016-02-09 06:30:00,2016-02-09 08:00:00,L,-531.5748024593198,False
2016-02-09 09:30:00,2016-02-09 13:30:00,L,1586.7507853410698,True
2016-02-10 13:30:00,2016-02-10 15:30:00,L,-536.8506823737285,False
2016-02-12 15:00:00,2016-02-12 16:00:00,L,-534.16642896186,False
2016-02-12 17:00:00,2016-02-14 23:00:00,L,-531.4955968170506,False
2016-02-19 11:30:00,2016-02-22 04:00:00,L,-528.8381188329654,False
2016-02-25 13:00:00,2016-02-25 14:00:00,L,-526.1939282388005,False
2016-02-26 09:30:00,2016-02-26 15:00:00,L,-523.5629585976064,False
2016-03-01 09:00:00,2016-03-01 15:00:00,L,-520.9451438046184,False
2016-03-01 16:00:00,2016-03-01 16:30:00,L,-518.3404180855953,False
2016-03-01 19:30:00,2016-03-02 02:00:00,L,-515.7487159951673,False
2016-03-04 14:00:00,2016-03-04 19:30:00,L,-513.1699724151914,False
2016-03-07 18:30:00,2016-03-08 07:30:00,L,1531.8123676593464,True
2016-03-16 18:30:00,2016-03-17 10:30:00,L,1347.1188146622826,True
2016-03-18 18:30:00,2016-03-18 19:00:00,L,-524.9987784647236,False
2016-03-18 19:30:00,2016-03-21 01:00:00,L,-522.3737845724,False
2016-03-24 14:00:00,2016-03-24 14:30:00,S,-519.7619156495381,False
2016-03-24 18:00:00,2016-03-27 22:00:00,S,1551.4893182138712,True
2016-03-28 15:00:00,2016-03-29 00:00:00,S,-524.9205526623598,False
2016-03-31 19:30:00,2016-04-01 02:00:00,L,-522.295949899048,False
2016-04-04 14:30:00,2016-04-05 02:00:00,S,-519.6844701495527,False
2016-04-06 16:30:00,2016-04-07 03:30:00,S,-517.086047798805,False
2016-04-08 10:30:00,2016-04-08 15:00:00,L,1543.501852679433,True
2016-04-12 06:30:00,2016-04-12 09:00:00,L,1566.6543804696244,True
2016-04-12 14:30:00,2016-04-13 05:00:00,L,-530.0513987255562,False
2016-04-15 09:00:00,2016-04-15 13:00:00,S,-527.4011417319284,False
2016-04-15 19:00:00,2016-04-15 19:30:00,S,-524.7641360232689,False
2016-04-18 18:00:00,2016-04-19 07:00:00,S,-522.1403153431525,False
2016-04-20 06:30:00,2016-04-20 19:00:00,L,-519.5296137664368,False
2016-04-26 14:00:00,2016-04-27 08:00:00,L,732.9259056904351,True
2016-04-27 16:30:00,2016-04-27 18:00:00,L,-520.5965952260567,False
2016-05-02 17:00:00,2016-05-02 18:00:00,L,-517.9936122499264,False
2016-05-03 17:30:00,2016-05-03 18:00:00,L,-515.4036441886768,False
2016-05-04 12:00:00,2016-05-04 17:00:00,L,-512.8266259677335,False
2016-05-05 09:00:00,2016-05-05 12:30:00,L,1530.7874785136846,True
2016-05-16 20:00:00,2016-05-17 08:30:00,L,-517.9164302304632,False
2016-05-20 12:00:00,2016-05-20 13:00:00,S,-515.3268480793109,False
2016-05-20 13:30:00,2016-05-20 15:00:00,S,1538.2506415167431,True
2016-05-27 09:30:00,2016-05-27 15:00:00,S,1561.3244011394945,True
