month_end,equity_end,return_pct,max_dd_pct,worst_day_pct,n_trades,wr_pct,obj_m,obj_dd,obj_wd,obj_tpm,passes
2016-01,109662.2100,9.6622,-0.8973,-0.8973,17,70.5882,True,True,True,True,True
2016-02,121538.1800,10.8296,-1.4925,-1.4925,16,75.0000,True,True,True,True,True
2016-03,127082.2900,4.5616,-1.2652,-0.5000,14,42.8571,True,True,True,True,True
2016-04,132328.1500,4.1279,-1.7001,-0.5000,18,50.0000,True,True,True,True,True
2016-05,132262.4800,-0.0496,-2.6696,-0.9974,18,38.8889,False,True,True,True,False
2016-06,143586.4200,8.5617,-1.4925,-0.9975,22,63.6364,True,True,True,True,True
2016-07,152589.3900,6.2701,-1.2156,-0.5000,14,64.2857,True,True,True,True,True
2016-08,155379.9600,1.8288,-1.1012,-0.5253,17,47.0588,False,True,True,True,False
2016-09,162008.9800,4.2663,-1.9850,-0.9975,21,42.8571,True,True,True,True,True
2016-10,172871.8400,6.7051,-1.4925,-0.9975,19,52.6316,True,True,True,True,True
2016-11,185911.5000,7.5430,-1.8464,-0.5000,25,52.0000,True,True,True,True,True
2016-12,194593.9600,4.6702,-2.9627,-0.9975,20,50.0000,True,True,True,True,True
2017-01,208121.8900,6.9519,-0.7536,-0.5000,19,63.1579,True,True,True,True,True
2017-02,218552.9100,5.0120,-1.2966,-1.2966,19,52.6316,True,True,True,True,True
2017-03,226509.1500,3.6404,-1.8383,-0.8142,22,45.4545,True,True,True,True,True
2017-04,237541.5700,4.8706,-0.5000,-0.5000,9,77.7778,True,True,True,True,True
2017-05,230772.8300,-2.8495,-3.2613,-0.9975,15,20.0000,False,True,True,True,False
2017-06,233632.5400,1.2392,-1.4925,-0.5000,12,41.6667,False,True,True,True,False
2017-07,228098.5400,-2.3687,-3.1419,-0.9975,17,29.4118,False,True,True,True,False
2017-08,230603.4100,1.0982,-1.9829,-0.6644,18,44.4444,False,True,True,True,False
2017-09,234242.7000,1.5782,-2.9721,-0.9975,16,31.2500,False,True,True,True,False
2017-10,231306.6500,-1.2534,-3.9125,-0.6688,21,42.8571,False,True,True,True,False
2017-11,244228.1900,5.5863,-1.4925,-0.9975,15,53.3333,True,True,True,True,True
